col_1,col_2,col_3,col_4
[BADEND],,,
,b001,주인공,(생각하며) 이렇게 끝나버렸구나.
,,주인공,한 달이라는 시간이 이렇게 빨리 지나갈 줄은 몰랐어. 
,,주인공,처음 이곳에 왔을 때의 설렘과 기대는 어디로 갔을까? 
,,주인공,(한숨을 쉬며) 내가 과연 최선을 다했을까?
,,주인공,"(마음 속으로) 분명히 열심히 했는데, 어딘가 부족했던 것 같아."
,,주인공,"유아라, 박지원, 김유진... 그들과의 시간은 정말 소중했지만, 결국 아무도 나를 선택하지 않았어. "
,,주인공,(살짝 떨리는 목소리로) 정말 그들과 더 가까워지고 싶었는데...
,,주인공,(자책하며) 내가 부족했던 걸까? 아니면 노력의 방향이 잘못됐던 걸까?
,,주인공,"그들에게 다가가고자 했지만, 어쩌면 내 마음이 충분히 전달되지 않았을지도 몰라. "
,,주인공,"(슬프게) 그들의 웃음과 눈빛이 아직도 생생한데, 이제는 그들과 더 이상 함께할 수 없겠지."
,,주인공,"(회상하며) 유아라와 함께 했던 연습 시간, 박지원과 축구를 하며 나눈 대화, 김유진과의 작곡 작업... 모두 좋은 추억이야."
,,주인공,"하지만 그 좋은 추억만으로는 충분하지 않았나 봐. (눈을 감으며) 그들이 나를 어떻게 생각했을지, 이제와서 궁금해지네."
,,주인공,주인공: (슬프게) 아라 씨는 항상 밝고 열정적이었어. 그녀의 무대는 언제나 눈부셨지. 
,,주인공,"내가 더 많이 응원해주고, 그녀의 곁에 더 있어줬다면 어땠을까? "
,,주인공,(한숨을 쉬며) 아마 그녀도 나에게 더 많은 기대를 했겠지.
,,주인공,(박지원에 대해 생각하며) 지원 씨는 정말 든든한 친구였어.
,,주인공,그의 열정과 노력이 항상 나에게 큰 자극이 됐지. 하지만 나는 그의 기대에 부응하지 못한 것 같아. 
,,주인공,"더 많이 대화하고, 그의 고민을 들어줬어야 했는데..."
,,주인공,(김유진에 대해 생각하며) 유진 씨는 정말 특별한 사람이었어.
,,주인공,그녀의 음악에 대한 열정은 나에게도 많은 영감을 줬지. 하지만 그녀와의 관계에서도 뭔가 부족했던 것 같아. 
,,주인공,"내가 그녀의 음악을 더 이해하고, 지지해줬다면 어땠을까?"
,,주인공,(결심하며) 이번 경험을 통해 많은 것을 배웠어.
,,주인공,"비록 이번에는 실패했지만, 다음에는 더 잘할 수 있을 거야. "
,,주인공,"(스스로를 다독이며) 내 부족함을 인정하고, 앞으로 더 성장할 기회로 삼아야지."
,,주인공,(기대와 걱정이 섞인 목소리로) 앞으로도 많은 도전이 기다리고 있을 거야.
,,주인공,"이곳에서 배운 것들을 잊지 말고, 앞으로의 길에 활용해야겠지. "
,,주인공,"(살짝 웃으며) 유아라, 박지원, 김유진, 그들이 어디에 있든지 항상 응원할 거야."
,,주인공,(다짐하며) 그들과 다시 만날 기회가 있을지도 몰라. 그때는 이번보다 더 나은 모습으로 다가가야지.
,,주인공,(마음 속으로) 이 실패가 나를 더 강하게 만들 거야. 모든 것은 다 이유가 있으니까.
,,주인공,"주인공: (자신에게 말하듯이) 지금은 아쉽고, 마음이 아프지만, 포기하지 말자. 앞으로 더 많은 기회가 있을 거야."
,,주인공,"(깊게 숨을 쉬며) 나 자신을 믿고, 더 나아가자."
,,주인공,(결심하며) 여기서 끝이 아니야. 새로운 시작을 위해 다시 한 번 일어서야 해.
,,주인공,(연습실 문을 돌아보며) 이곳에서의 추억은 내 마음 속에 영원히 남을 거야. 
,,주인공,이제 다시 새로운 도전을 향해 나아가자.
,,주인공,"(자신있게) 그래, 할 수 있어. 이번 경험을 통해 더 강해질 거야."
,,주인공,(연습실 밖을 걸어나가며) 다음에 더 나은 모습으로 돌아올게. 
,,주인공,그때는 반드시 성공할 거야.
,b000,하트비트 아이돌,Kumho Jeong Present
,,하트비트 아이돌,Programmed by nashorn74
,,하트비트 아이돌,Written scripts by ChatGPT 4o
,,하트비트 아이돌,Generated images by CalicoMix in tensor.art
,,하트비트 아이돌,Generated musics by Udio
