col_1,col_2,col_3,col_4
[1:0702:002],,,
,e001,주인공,"(미소 지으며) 안녕, 아라 씨. 피아노 연습 중이네요?"
,,유아라,"(조용히) 네, 안녕하세요. 조금 더 연습하려고요. 피아노 연주는 저에게 정말 중요해요."
,,주인공,(관심을 보이며) 그렇군요. 어떤 곡을 연습 중이에요?
,,유아라,"(부드럽게) 제가 작곡한 곡이에요. 아직 미완성이지만, 언젠가 완성해서 들려드리고 싶어요."
,,주인공,"(감탄하며) 와, 아라 씨가 작곡도 하시는군요. 정말 대단해요. 한 번 들려줄 수 있나요?"
,,유아라,"(살짝 미소 지으며) 아직 완벽하지 않지만, 들어주시면 감사하죠. (연주를 시작하며) 이 곡은 제가 느꼈던 감정을 표현한 거예요."
,,,"(유아라는 피아노를 연주하기 시작하고, 주인공은 그 연주에 감동한다.)"
,,주인공,(박수치며) 정말 아름다운 곡이에요. 아라 씨의 감정이 잘 느껴져요.
,,유아라,(감사한 마음으로) 고마워요. 주인공 씨가 그렇게 말해주니 기뻐요. 피아노 연주는 저에게 정말 큰 힘이 돼요.
,,주인공,(따뜻하게) 아라 씨의 연주는 정말 대단해요. 앞으로도 계속 들려주세요. 응원할게요!
,,유아라,"(조용히) 네, 주인공 씨의 응원이 큰 힘이 돼요. 저도 주인공 씨를 응원할게요. 우리 서로 힘내요."
,,주인공,"(미소 지으며) 네, 우리 함께 열심히 해요. 그럼 저는 연습실로 가볼게요. 아라 씨도 화이팅!"
,,유아라,"(부드럽게) 네, 감사합니다. 주인공 씨도 화이팅!"
[2:0703:004],,,
,e002,주인공,"(미소 지으며) 안녕, 아라 씨. 노래 연습 중이네요?"
,,유아라,"(조용히) 네, 안녕하세요. 무대에서 노래하는 게 아직 익숙하지 않아서 많이 연습하려고요."
,,주인공,(관심을 보이며) 그럴 때일수록 더 많이 연습해야죠. 어떤 곡을 연습 중인가요?
,,유아라,(부드럽게) 제가 좋아하는 발라드 곡이에요. 감정을 잘 표현하려고 노력 중이에요.
,,주인공,"(감탄하며) 발라드라니, 아라 씨 목소리랑 정말 잘 어울리겠네요. 한 번 들어봐도 될까요?"
,,유아라,(살짝 미소 지으며) 물론이죠. 들어주셔서 감사해요. (노래를 시작하며) 이 곡은 제가 사랑하는 사람을 생각하며 부르는 노래예요.
