col_1,col_2,col_3,col_4
[INTRO],,,
,b000,주인공,(생각하며) 드디어 이 날이 왔구나.
,,주인공,"내 인생의 새로운 시작점이 될 이 순간, 나는 과연 잘할 수 있을까? "
,,주인공,(살짝 떨리는 목소리로) 정말 떨린다. 
,,주인공,처음으로 K-pop 아이돌 스타를 꿈꾸며 이 자리에 오기까지 얼마나 많은 시간이 걸렸는지 몰라.
,,주인공,"(마음 속으로) 많은 사람들이 이 길을 걷고 싶어 하지만, 끝까지 도전하는 사람은 몇이나 될까?"
,,주인공,그 중에 내가 포함되어 있다는 것이 기뻐. 하지만 동시에 두렵기도 해. 
,,주인공,(한숨을 쉬며) 만약 내가 잘하지 못하면 어떻게 하지?
,,주인공,"(다짐하며) 그래도 여기까지 왔으니, 후회 없이 최선을 다해야지."
,,주인공,연습실 문을 열고 들어가면 새로운 사람들과 만나게 될 거야. 
,,주인공,그 사람들도 나와 같은 꿈을 꾸며 여기까지 온 사람들일 테지. 
,,주인공,(웃으며) 나만 떨리는 건 아닐 거야. 모두가 긴장하고 있을 거야.
,,주인공,"(결심하며) 지금까지의 노력이 헛되지 않도록, 정말 열심히 해야겠어."
,,주인공,"연습실 안에서 만날 사람들과 함께 성장하고, 서로에게 힘이 되어줄 수 있기를. "
,,주인공,"(살짝 미소 지으며) 새로운 친구들을 사귀고, 함께 꿈을 향해 나아갈 수 있을 거야."
,,주인공,(기대감에 차서) 이곳에서 어떤 추억들이 생길까?
,,주인공,어떤 도전들이 나를 기다리고 있을까? 정말 기대돼. 
,,주인공,(깊게 숨을 쉬며) 연습실 문을 열고 들어가면 모든 게 시작될 거야.
,,주인공,(걱정하며) 하지만 새로운 도전은 언제나 쉽지 않아.
,,주인공,"실수도 할 수 있고, 좌절도 겪을 수 있겠지."
,,주인공,(자신을 다독이며) 그렇지만 실수는 성공으로 가는 길이라고 했어. 
,,주인공,모든 경험이 나를 더 강하게 만들 거야.
,,주인공,"(다짐하며) 내가 왜 이 자리에 있는지, 왜 이 길을 선택했는지 다시 한 번 생각해보자."
,,주인공,"나는 노래를 사랑하고, 춤을 사랑해. "
,,주인공,무대 위에서 빛나는 순간을 꿈꾸며 여기에 왔어. 
,,주인공,"(자신에게 말하듯이) 나 자신을 믿고, 열심히 하면 분명 좋은 결과가 있을 거야."
,,주인공,(기대와 걱정이 섞인 목소리로) 새로운 사람들과의 만남도 정말 기대돼.
,,주인공,어떤 성격의 사람들이 나와 함께 하게 될까? 그들과 함께라면 힘든 시간도 즐겁게 보낼 수 있을 거야. 
,,주인공,"(살짝 웃으며) 서로를 응원하고, 격려하며 성장해나가는 모습이 상상돼."
,,주인공,(각오를 다지며) 이제 정말 시작이야.
,,주인공,"연습실 문을 열고 들어가면, 나는 새로운 도전을 시작하게 될 거야. "
,,주인공,"모든 걱정은 잠시 접어두고, 마음을 열고 새로운 경험을 받아들이자. "
,,주인공,"(깊게 숨을 쉬며) 힘내자, 나 자신."
,,주인공,"(결심하며) 여기서 만날 사람들과 함께, 더 큰 꿈을 향해 나아가자."
,,주인공,"모든 순간을 소중히 여기며, 최선을 다해보자. "
,,주인공,(웃으며) 이제 연습실 문을 열 시간이야.
,,주인공,"(자신있게) 그래, 할 수 있어. 나는 준비됐어."
,b001,주인공,"(연습실 문을 열며) 자, 시작해보자!"
